Date : 2024-10-14 13:45:39
Directory : c:\Users\cadel\OneDrive\Desktop\ByteJam-Project
Total : 44 files,  1486 codes, 170 comments, 355 blanks, all 2011 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         38 |      1,357 |        120 |        305 |      1,782 |
| Gradle          |          2 |         46 |         20 |         16 |         82 |
| Batch           |          1 |         41 |         30 |         22 |         93 |
| GLSL            |          1 |         34 |          0 |         11 |         45 |
| Java Properties |          1 |          7 |          0 |          1 |          8 |
| Markdown        |          1 |          1 |          0 |          0 |          1 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |         44 |      1,486 |        170 |        355 |      2,011 |
| . (Files)                                                                                                   |          3 |         47 |         37 |         25 |        109 |
| app                                                                                                         |         39 |      1,398 |        133 |        318 |      1,849 |
| app (Files)                                                                                                 |          1 |         41 |         13 |         13 |         67 |
| app\bin                                                                                                     |         18 |        438 |          0 |          2 |        440 |
| app\bin\main                                                                                                |         17 |        433 |          0 |          2 |        435 |
| app\bin\main\bytejam                                                                                        |         17 |        433 |          0 |          2 |        435 |
| app\bin\main\bytejam\project                                                                                |         17 |        433 |          0 |          2 |        435 |
| app\bin\main\bytejam\project (Files)                                                                        |          1 |          9 |          0 |          0 |          9 |
| app\bin\main\bytejam\project\renderer                                                                       |          2 |        106 |          0 |          1 |        107 |
| app\bin\main\bytejam\project\turbo                                                                          |         14 |        318 |          0 |          1 |        319 |
| app\bin\main\bytejam\project\turbo (Files)                                                                  |          8 |        201 |          0 |          1 |        202 |
| app\bin\main\bytejam\project\turbo\goc                                                                      |          5 |        110 |          0 |          0 |        110 |
| app\bin\main\bytejam\project\turbo\util                                                                     |          1 |          7 |          0 |          0 |          7 |
| app\bin\test                                                                                                |          1 |          5 |          0 |          0 |          5 |
| app\bin\test\bytejam                                                                                        |          1 |          5 |          0 |          0 |          5 |
| app\bin\test\bytejam\project                                                                                |          1 |          5 |          0 |          0 |          5 |
| app\src                                                                                                     |         20 |        919 |        120 |        303 |      1,342 |
| app\src\main                                                                                                |         19 |        916 |        117 |        301 |      1,334 |
| app\src\main\java                                                                                           |         19 |        916 |        117 |        301 |      1,334 |
| app\src\main\java\bytejam                                                                                   |         19 |        916 |        117 |        301 |      1,334 |
| app\src\main\java\bytejam\project                                                                           |         19 |        916 |        117 |        301 |      1,334 |
| app\src\main\java\bytejam\project (Files)                                                                   |          1 |          8 |          3 |          4 |         15 |
| app\src\main\java\bytejam\project\renderer                                                                  |          4 |        399 |         65 |        118 |        582 |
