"filename", "language", "Gradle", "Markdown", "Log", "Java", "Batch", "GLSL", "Java Properties", "comment", "blank", "total"
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\App.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\renderer\RenderBatch.class", "Java", 0, 0, 0, 47, 0, 0, 0, 19, 0, 66
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\renderer\Renderer.class", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\renderer\Shader.class", "Java", 0, 0, 0, 72, 0, 0, 0, 0, 1, 73
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\renderer\Texture.class", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 0, 37
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\Camera.class", "Java", 0, 0, 0, 18, 0, 0, 0, 0, 0, 18
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\ExampleScene.class", "Java", 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\KeyListener.class", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\MouseListener.class", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\PresentScene.class", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 26
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\Scene.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\Sound.class", "Java", 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"c:\Users\cadel\OneDrive\Documents\ByteJam-Project\app\bin\main\bytejam\project\turbo\TitleScene.class", "Java", 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
